종류,코드,상품명,위험등급,취급시작,취급종료,판매,매칭,SEIBro확인,정식펀드명(SEIBro),SEIBro이름대조,협회표준코드,협회단축코드,KOFIA펀드명,KOFIA이름대조,대조결과,확인필요
펀드,KRZ500058441,한국투자마스터증권자투자신탁 1호(국공채) 종류 C,5,,,,matched,,,,KR5101521569,,,,,
펀드,KRZ700066442,마이다스 액티브 가치 증권 투자회사(주식) 종류A1,2,,,,matched,,,,KRM303317155,,,,,
펀드,KRZ700066443,마이다스 액티브 가치 증권 투자회사(주식) 종류C1,2,,,,matched,,,,KRM303317155,,,,,
펀드,KRZ700066483,마이다스 커버드콜 증권 투자회사(주식) 종류C1,2,,,,matched,,,,KRM303342708,,,,,
펀드,KRZ700066481,마이다스 커버드콜 증권 투자회사(주식) 종류A1,2,,,,matched,,,,KRM303342708,,,,,
펀드,KRZ700308733,DB해오름인덱스알파증권투자회사[주식-파생형] Class C-E,2,,,,matched,,,,KRM216640693,,,,,
펀드,KRZ700308731,DB해오름인덱스알파증권투자회사[주식-파생형] Class A,2,,,,matched,,,,KRM216640693,,,,,
펀드,KRZ500317263,브이 파워아시아증권투자신탁1호(주식) 종류C-e,2,,,,matched,,,,KR5349649321,,,,,
펀드,KRZ500317264,브이 파워아시아증권투자신탁1호(주식) 종류C1,2,,,,matched,,,,KR5349649321,,,,,
펀드,KRZ500163641,하나 글로벌리츠부동산자투자신탁 [재간접형] 종류A,2,,,,matched,,,,KR5312492501,,,,,
펀드,KRZ500150403,다올마켓스타증권투자신탁[주식] 종류A,2,,,,matched,,,,KR5306479092,,,,,
펀드,KRZ500391642,베어링 밸류스타일 증권자투자신탁(주식) Class C,2,,,,matched,,,,KR5302731702,,,,,
펀드,KRZ500317261,브이 파워아시아증권투자신탁1호(주식) 종류A,2,,,,matched,,,,KR5349649321,,,,,
펀드,KRZ500393271,알파글로벌신재생에너지 증권 자투자신탁1호[주식] Class A1,2,,,,matched,,,,KR5321732624,,,,,
펀드,KRZ500328834,유리글로벌거래소증권자투자신탁제1호[주식] Class C1,3,,,,matched,,,,KR5307662316,,,,,
펀드,KRZ500323673,하나 글로벌 인프라 증권 자투자신탁[주식] 종류C1,2,,,,matched,,,,KR5312656626,,,,,
펀드,KRZ500323671,하나 글로벌인프라 증권 자투자신탁[주식] 종류A,2,,,,matched,,,,KR5312656626,,,,,
펀드,KRZ500236672,하나 아시안리츠 부동산 투자신탁 [재간접형] 종류C,3,,,,matched,,,,KR5312568193,,,,,
펀드,KRZ500366322,유경PSG액티브밸류 증권투자신탁[주식] Class C,2,,,,matched,,,,KR5305702361,,,,,
펀드,KRZ500376971,유리웰스힘찬성장증권자투자신탁[주식] Class A,2,,,,matched,,,,KR5307714984,,,,,
펀드,KRZ500126702,유리스몰뷰티증권자투자신탁[주식] A,2,,,,matched,,,,KR5307455232,,,,,
펀드,KRZ500376973,유리웰스힘찬성장증권자투자신탁[주식] Class C1,2,,,,matched,,,,KR5307714984,,,,,
펀드,KRZ500199731,마이다스 블루칩배당 증권 투자신탁 1호(주식) A1 클래스,2,,,,matched,,,,KR5303529378,,,,,
펀드,KRZ500213071,마이다스 뉴베스트트리오 증권 투자신탁(주식) A1클래스,2,,,,matched,,,,KR5303542918,,,,,
펀드,KRZ500394591,미래에셋Eastern유라시아업종대표증권자투자신탁1호(주식) 종류 A,2,,,,matched,,,,KR5301734285,,,,,
펀드,KRZ500328833,유리글로벌거래소증권자투자신탁제1호[주식] Class I,3,,,,matched,,,,KR5307662316,,,,,
펀드,KRZ500394575,미래에셋동유럽업종대표증권자투자신탁1호(주식) 종류 C-i,2,,,,matched,,,,KR5301734236,,,,,
펀드,KRZ500394654,미래에셋EasternEURICs업종대표증권자투자신탁1호(주식) 종류 C-e,2,,,,matched,,,,KR5301734319,,,,,
펀드,KRZ500236671,하나 아시안리츠 부동산 투자신탁 [재간접형] 종류A,3,,,,matched,,,,KR5312568193,,,,,
펀드,KRZ500391641,베어링 밸류스타일 증권자투자신탁(주식) Class A,2,,,,matched,,,,KR5302731702,,,,,
펀드,KRZ500394577,미래에셋동유럽업종대표증권자투자신탁1호(주식) 종류C1,2,,,,matched,,,,KR5301734236,,,,,
펀드,KRZ500318403,미래에셋친디아컨슈머증권투자신탁1호(주식) 종류 C-I,2,,,,matched,,,,KR5301650853,,,,,
펀드,KRZ500199733,마이다스 블루칩배당 증권 투자신탁 1호(주식) C-I 클래스,2,,,,matched,,,,KR5303529378,,,,,
펀드,KRZ500397932,미래에셋디스커버리증권투자신탁4호(주식) 종류 A-W,2,,,,matched,,,,KR5301738245,,,,,
펀드,KRZ500394571,미래에셋동유럽업종대표증권자투자신탁1호(주식) 종류 A,2,,,,matched,,,,KR5301734236,,,,,
펀드,KRZ500384812,다올코리아AI테크중소형증권자투자신탁제2호[주식] 종류C,1,,,,matched,,,,KR5306723150,,,,,
펀드,KRZ500150404,다올마켓스타증권투자신탁[주식] 종류C,2,,,,matched,,,,KR5306479092,,,,,
펀드,KRZ500391645,베어링 밸류스타일 증권자투자신탁(주식) Class E,2,,,,matched,,,,KR5302731702,,,,,
펀드,KRZ500384811,다올코리아AI테크중소형증권자투자신탁제2호[주식] 종류A,1,,,,matched,,,,KR5306723150,,,,,
펀드,KRZ500150402,다올마켓스타증권투자신탁[주식] 종류B,2,,,,matched,,,,KR5306479092,,,,,
펀드,KRZ500397931,미래에셋디스커버리증권투자신탁4호(주식) 종류 A,2,,,,matched,,,,KR5301738245,,,,,
펀드,KRZ500126701,유리스몰뷰티증권자투자신탁[주식] C,2,,,,matched,,,,KR5307455232,,,,,
펀드,KRZ500309933,미래에셋차이나솔로몬증권투자신탁2호(주식) 종류 I,2,,,,matched,,,,KR5301642579,,,,,
펀드,KRZ500163642,하나 글로벌리츠부동산자투자신탁 [재간접형] 종류I,2,,,,matched,,,,KR5312492501,,,,,
펀드,KRZ500394595,미래에셋Eastern유라시아업종대표증권자투자신탁1호(주식) 종류C1,2,,,,matched,,,,KR5301734285,,,,,
펀드,KRZ500396981,미래에셋친디아인프라섹터증권자투자신탁1호(주식) 종류 A,2,,,,matched,,,,KR5301737031,,,,,
펀드,KRZ500390571,AKP턴어라운드증권투자신탁1호(주식) Class A,2,,,,matched,,,,KR5308729742,,,,,
펀드,KRZ500397945,미래에셋인디펜던스증권자투자신탁4호(주식) 종류C1,2,,,,matched,,,,KR5301738229,,,,,
펀드,KRZ500394574,미래에셋동유럽업종대표증권자투자신탁1호(주식) 종류 C-e,2,,,,matched,,,,KR5301734236,,,,,
펀드,KRZ500361801,미래에셋디스커버리플러스증권자투자신탁1호(주식) 종류 A,2,,,,matched,,,,KR5301697730,,,,,
펀드,KRZ500376741,미래에셋인디아인프라섹터증권자투자신탁1호(주식) 종류 A,2,,,,matched,,,,KR5301714584,,,,,
펀드,KRZ500280573,베어링 가치형 증권자투자신탁(주식) Class C-F,2,,,,matched,,,,KR5302611466,,,,,
펀드,KRZ500182004,미래에셋인디아디스커버리증권자투자신탁1호(주식)종류C-F,2,,,,matched,,,,KR5301511063,,,,,
펀드,KRZ500199734,마이다스 블루칩배당 증권 투자신탁 1호(주식) C1 클래스,2,,,,matched,,,,KR5303529378,,,,,
펀드,KRZ500396974,미래에셋차이나업종대표증권자투자신탁1호(주식) 종류C1,2,,,,matched,,,,KR5301737064,,,,,
펀드,KRZ500394651,미래에셋EasternEURICs업종대표증권자투자신탁1호(주식) 종류 A,2,,,,matched,,,,KR5301734319,,,,,
펀드,KRZ500318404,미래에셋친디아컨슈머증권투자신탁1호(주식) 종류C1,2,,,,matched,,,,KR5301650853,,,,,
펀드,KRZ500322864,미래에셋아시아퍼시픽인프라섹터증권투자신탁1호(주식) 종류 C-I,3,,,,matched,,,,KR5301655530,,,,,
펀드,KRZ500384081,미래에셋차이나인프라섹터증권자투자신탁1호(주식) 종류 A,2,,,,matched,,,,KR5301722298,,,,,
펀드,KRZ500394655,미래에셋EasternEURICs업종대표증권자투자신탁1호(주식) 종류C1,2,,,,matched,,,,KR5301734319,,,,,
펀드,KRZ500396971,미래에셋차이나업종대표증권자투자신탁1호(주식) 종류 A,2,,,,matched,,,,KR5301737064,,,,,
펀드,KRZ500351433,미래에셋팬아시아컨슈머증권자투자신탁1호(주식) 종류C1,2,,,,matched,,,,KR5301686204,,,,,
펀드,KRZ500235674,미래에셋엄브렐러증권투자신탁(채권)종류 C-i,4,,,,matched,,,,KR5227564873,,,,,
펀드,KRZ500200944,미래에셋인디펜던스증권투자신탁3호(주식) 종류C1,2,,,,matched,,,,KR5301530428,,,,,
펀드,KRZ500281432,미래에셋인디펜던스증권투자신탁K-2호(주식) 종류C1,2,,,,matched,,,,KR5301612150,,,,,
펀드,KRZ500311133,미래에셋라이프사이클5060증권전환형자투자신탁1호(채권혼합) 종류 C-Y,4,,,,matched,,,,KR5301643122,,,,,
펀드,KRZ500311123,미래에셋라이프사이클4050증권전환형자투자신탁1호(주식혼합) 종류 C-Y,4,,,,matched,,,,KR5301643106,,,,,
펀드,KRZ500163645,하나 글로벌리츠부동산자투자신탁 [재간접형] 종류C1,2,,,,matched,,,,KR5312492501,,,,,
펀드,KRZ500243384,미래에셋아시아퍼시픽소비성장증권자투자신탁1호(주식)종류 B-2,2,,,,matched,,,,KR5227573478,,,,,
펀드,KRZ500318293,미래에셋대형주포커스증권자투자신탁1호(주식) 종류C1,2,,,,matched,,,,KR5301650812,,,,,
펀드,KRZ500322865,미래에셋아시아퍼시픽인프라섹터증권투자신탁1호(주식) 종류C1,3,,,,matched,,,,KR5301655530,,,,,
펀드,KRZ500342991,미래에셋우리아이친디아업종대표증권자투자신탁1호(주식) 종류 A,2,,,,matched,,,,KR5301676684,,,,,
펀드,KRZ500199791,미래에셋디스커버리증권자투자신탁3호(주식) 종류 A,2,,,,matched,,,,KR5301529354,,,,,
펀드,KRZ500370751,한화한국오퍼튜니티증권 자투자신탁(주식) A 클래스,2,,,,matched,,,,KR5237708205,,,,,
펀드,KRZ500312981,미래에셋코친디아포커스7증권자투자신탁1호(주식) A,3,,,,matched,,,,KR5301645317,,,,,
펀드,KRZ500200942,미래에셋인디펜던스증권투자신탁3호(주식) 종류I,2,,,,matched,,,,KR5301530428,,,,,
펀드,KRZ500309934,미래에셋차이나솔로몬증권투자신탁2호(주식) 종류C1,2,,,,matched,,,,KR5301642579,,,,,
펀드,KRZ500311103,미래에셋라이프사이클2030증권전환형자투자신탁1호(주식) C-Y,2,,,,matched,,,,KR5301643064,,,,,
펀드,KRZ500280572,베어링 가치형 증권자투자신탁(주식) Class C,2,,,,matched,,,,KR5302611466,,,,,
펀드,KRZ500277951,IBK 그랑프리 KRX100인덱스 증권 투자신탁[주식] Class A,2,,,,matched,,,,KR5234608721,,,,,
