종류,코드,상품명,위험등급,취급시작,취급종료,판매,매칭,SEIBro확인,정식펀드명(SEIBro),SEIBro이름대조,협회표준코드,협회단축코드,KOFIA펀드명,KOFIA이름대조,대조결과,확인필요
펀드,KRZ501594756,우리위비개인MMF1호(국공채)C-Pe,—,2021-12-22,∞,Y,미매칭,존재,우리위비개인MMF1호(국공채)ClassC-Pe,일치(정규화),K55107DQ6774,DQ677,우리위비개인MMF1호(국공채)ClassC-Pe,일치(정규화),matched,
펀드,KRZ501056308,미래에셋개인전용MMF1호(국공채)C-P2e,—,2023-05-26,∞,Y,미매칭,존재,미래에셋개인전용MMF1호(국공채)종류C-P2e,일치(정규화),K55301BU4183,BU418,미래에셋개인전용MMF1호(국공채) 종류C-P2e,일치(정규화),matched,
펀드,KRZ501058234,한국투자신종법인용MMF3호(국공채)C-Re,—,2023-05-26,∞,Y,미매칭,존재,한국투자신종법인용MMF3호(국공채) 종류 C-Re,일치(정규화),K55101CF1577,CF157,한국투자신종법인용MMF3호(국공채)(C-Re),일치(정규화),matched_marker,Y
펀드,KRZ50194044E,유진챔피언단기채증권자투자신탁(채권)C-Pe2,—,2017-09-08,∞,Y,미매칭,존재,유진챔피언단기채증권자투자신탁(채권) Class C-Pe2,일치(정규화),K55214BU9535,BU953,유진챔피언단기채증권자투자신탁(채권) Class C-Pe2,일치(정규화),matched,
펀드,KRZ50157036C,AB글로벌고수익증권투자신탁(채권-재간접형)Ce-P2,—,2017-09-08,∞,Y,미매칭,존재,AB글로벌고수익증권투자신탁(채권-재간접형) 종류형 Ce-P2,유사,K55370BU1987,BU198,AB글로벌고수익증권투자신탁(채권-재간접형)종류형Ce-P2,유사,matched,
펀드,KRZ50179061A,피델리티유럽하이일드증권자투자신탁(채권-재간접형)CP-e,—,2017-11-17,∞,Y,미매칭,존재,피델리티 유럽 하이일드 증권 자투자신탁 (채권-재간접형) 종류 CP-e,일치(정규화),K55235BY9494,BY949,피델리티유럽하이일드증권자투자신탁(채권-재간접형)종류CP-e,일치(정규화),matched,
펀드,KRZ50163323B,우리PIMCO분산투자증권자투자신탁[채권_재간접형](H)Pe1,—,2018-01-29,∞,Y,미매칭,존재,우리 PIMCO분산투자증권자투자신탁[채권_재간접형](H) CLASS Pe1,일치(정규화),K55228BT5316,BT531,우리 PIMCO분산투자증권자투자신탁[채권_재간접형](H)Class Pe1,일치(정규화),matched_loose,Y
펀드,KRZ502201218,하나PIMCO글로벌인컴혼합자산자투자신탁(H)[재간접형]C-P2E,—,2018-03-12,∞,Y,미매칭,존재,하나 PIMCO글로벌인컴혼합자산자투자신탁(H)[재간접형] 종류 C-P2E,일치(정규화),K55102C13390,C1339,하나PIMCO글로벌인컴혼합자산자투자신탁(H)[재간접형]ClassC-P2E,일치(정규화),matched_marker,Y
펀드,KRZ501711013,미래에셋퇴직플랜글로벌다이나믹증권자투자신탁1호(채권)C-P2e,—,2018-06-20,∞,Y,미매칭,존재,미래에셋퇴직플랜글로벌다이나믹증권자투자신탁1호(채권) 종류C-P2e,일치(정규화),K55301BT7965,BT796,미래에셋퇴직플랜글로벌다이나믹증권자투자신탁1호(채권)종류C-P2e,일치(정규화),matched,
펀드,KRZ501206303,미래에셋퇴직플랜증권자투자신탁1호(채권)C-P2e,—,2018-06-22,∞,Y,미매칭,존재,미래에셋퇴직플랜증권자투자신탁1호(채권) 종류 C-P2e,일치(정규화),K55301BU3011,BU301,미래에셋퇴직플랜증권자투자신탁1호(채권)종류C-P2e,일치(정규화),matched,
